_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
325.1076612499530	-23.2020710814171	325.10767085133	0.4789	-23.20209397768	0.5417	6816580773446144512	-0.7099	0.5698	2.050	0.858	-5.318	0.835	0	3.2337e+02	1.2477e+00	19.4141	0.0042	3.0803e+02	1.4183e+01	19.1299	0.0500	3.6005e+02	8.5139e+00	18.3710	0.0257	0.7589							
325.0988919368604	-23.2059827431952	325.09888644794	0.3300	-23.20601498893	0.3482	6816580773448294400	0.7194	0.3448	-1.172	0.570	-7.489	0.532	0	6.2821e+02	1.4266e+00	18.6931	0.0025	5.2815e+02	1.8719e+01	18.5445	0.0385	5.1984e+02	1.3272e+01	17.9722	0.0277	0.5723							
325.0992017701369	-23.2048366311422	325.09919929908	0.0716	-23.20486721543	0.0777	6816580773448295680	-0.0603	0.0868	-0.527	0.131	-7.103	0.119	0	8.1863e+03	4.5062e+00	15.9056	0.0006	6.3157e+03	3.3429e+01	15.8503	0.0057	3.6919e+03	1.5884e+01	15.8438	0.0047	0.0065			9534.33				
325.1020186507408	-23.2050675525339	325.10201865074	35.0379	-23.20506755253	26.4195	6816580773447815808							0	8.6802e+01	1.1520e+00	20.8420	0.0144	1.1523e+02	5.9553e+01	20.1975	0.5611	5.9169e+01	5.4430e+01	20.3317	0.9988	-0.1342							
325.1045165380663	-23.2019702523458	325.10451653807	23.0312	-23.20197025235	26.6198	6816580773447813760							0	9.2024e+01	1.4214e+00	20.7786	0.0168																
325.0964425179430	-23.2063430511838	325.09644251794	1.7889	-23.20634305118	1.3712	6816580739086487808							0	3.5105e+02	2.4834e+00	19.3249	0.0077	5.9963e+02	3.4439e+01	18.4067	0.0624	6.2976e+02	1.6779e+01	17.7640	0.0289	0.6427							
325.0966973251847	-23.2064902302804	325.09669732518	36.4726	-23.20649023028	41.7256	6816580773446225920							0	9.1034e+01	2.6899e+00	20.7904	0.0321																
325.0979078265440	-23.2054710930239	325.09790782654	22.9846	-23.20547109302	11.7612	6816580773447817600							0	9.3263e+01	1.6331e+00	20.7641	0.0190																
325.1015269289776	-23.2065049540088	325.10152692898	20.1254	-23.20650495401	24.7181	6816580773447817472							0	1.1815e+02	1.1349e+00	20.5073	0.0104																
325.1017783961512	-23.2038940140782	325.10177839615	0.7669	-23.20389401408	0.8443	6816580773448289152							0	6.7664e+02	4.4585e+00	18.6125	0.0072	6.6575e+02	1.5861e+01	18.2931	0.0259	7.1019e+02	1.7804e+01	17.6335	0.0272	0.6596							
325.1099668385357	-23.1992575688650	325.10996683854	1.8286	-23.19925756887	2.7525	6816580773446141952							0	2.9812e+02	1.2450e+00	19.5024	0.0045																
325.1106085283401	-23.2016953360269	325.11060852834	3.6136	-23.20169533603	5.0992	6816580773447923200							0	1.3178e+02	1.1114e+00	20.3887	0.0092																
325.1098407869515	-23.1984538475182	325.10984078695	3.7418	-23.19845384752	6.4303	6816580773446139904							0	1.7138e+02	1.6868e+00	20.1035	0.0107																
325.0997436593336	-23.2057859158425	325.09974291565	0.2136	-23.20581601613	0.2390	6816580773448291328	-0.5553	0.2754	-0.159	0.392	-6.991	0.378	0	9.7006e+02	1.4953e+00	18.2214	0.0017	7.5150e+02	2.6404e+01	18.1616	0.0381	7.4672e+02	1.9283e+01	17.5790	0.0280	0.5825							
325.1015691774722	-23.2022371108400	325.10156483294	0.2448	-23.20226811182	0.2587	6816580773446198016	0.0456	0.2952	-0.927	0.443	-7.200	0.398	0	8.7352e+02	1.6499e+00	18.3352	0.0021	7.0835e+02	2.4583e+01	18.2258	0.0377	7.5331e+02	2.8847e+01	17.5695	0.0416	0.6563							
325.1123841093237	-23.2011784747070	325.11238410932	21.0956	-23.20117847471	25.8302	6816580773446120320							0	1.1435e+02	1.9701e+00	20.5428	0.0187																
325.0985744276723	-23.2074221671007	325.09857442767	3.4939	-23.20742216710	4.7349	6816580769152297984							0	3.1362e+02	1.5797e+00	19.4473	0.0055																
325.1000617560986	-23.2038532472634	325.10005752770	0.3929	-23.20388675669	0.4256	6816580773446203904	0.0016	0.4157	-0.903	0.678	-7.783	0.649	0	4.8651e+02	1.3010e+00	18.9706	0.0029	4.5897e+02	1.7098e+01	18.6969	0.0404	4.5238e+02	1.7420e+01	18.1232	0.0418	0.5738							
325.1004369828084	-23.2037519881237	325.10043698281	22.1818	-23.20375198812	27.8441	6816580773446203776							0	1.0446e+02	1.3893e+00	20.6410	0.0144																
325.1065482999409	-23.2001504042787	325.10654829994	56.4929	-23.20015040428	53.4544	6816580773449170432							0	9.6295e+01	2.5197e+00	20.7294	0.0284																
325.1019464211643	-23.2035768781403	325.10194642116	49.3408	-23.20357687814	41.8398	6816580773446189696							0	1.6141e+02	1.6192e+00	20.1685	0.0109																
325.1026970637049	-23.2022065866859	325.10269706370	24.1771	-23.20220658669	27.4340	6816580773446189312							0	1.1635e+02	1.3644e+00	20.5239	0.0127																
325.1026856086749	-23.2023828822477	325.10267705286	0.5801	-23.20242374465	0.6064	6816580773446189184	-1.5780	0.6934	-1.826	0.975	-9.491	0.966	0	2.8731e+02	1.1941e+00	19.5425	0.0045	3.6823e+02	3.2519e+01	18.9361	0.0959	4.1467e+02	1.7942e+01	18.2177	0.0470	0.7184							
325.1076414300485	-23.2001293245688	325.10764143005	24.7864	-23.20012932457	27.6243	6816580773448993792							0	7.7562e+01	1.4017e+00	20.9642	0.0196																
325.0992620644806	-23.2073658712970	325.09925517783	0.3689	-23.20739393788	0.4394	6816580773446194688	-0.2709	0.4183	-1.470	0.657	-6.519	0.671	0	4.6630e+02	1.3346e+00	19.0167	0.0031	6.3507e+02	3.0064e+01	18.3443	0.0514	5.4919e+02	2.7518e+01	17.9126	0.0544	0.4317							
325.0983427441788	-23.2073753951067	325.09834399345	0.3628	-23.20740617873	0.3921	6816580773446194432	-0.1152	0.3938	0.267	0.639	-7.150	0.598	0	6.1046e+02	2.1865e+00	18.7242	0.0039	6.4904e+02	2.6642e+01	18.3207	0.0446	6.9155e+02	4.4663e+01	17.6624	0.0701	0.6584							
325.0996176432855	-23.2064376615565	325.09960917097	0.5553	-23.20646528887	0.6749	6816580773446195840	0.6945	0.7589	-1.809	1.025	-6.417	1.052	0	2.7572e+02	1.2822e+00	19.5872	0.0050																
325.0996707242284	-23.2068862597807	325.09967072423	20.9285	-23.20688625978	25.7474	6816580773446195712							0	1.0742e+02	2.2317e+00	20.6106	0.0226																
325.1023914703745	-23.2011979104309	325.10239731489	0.2304	-23.20123503089	0.2664	6816580773446196480	-0.1569	0.2760	1.248	0.418	-8.622	0.410	0	8.9826e+02	2.0763e+00	18.3049	0.0025	7.8100e+02	2.2605e+01	18.1198	0.0314	8.0887e+02	3.2405e+01	17.4922	0.0435	0.6275							
325.1064179266864	-23.2019814223185	325.10641792669	26.0191	-23.20198142232	52.7306	6816580773449148544							0	7.4719e+01	2.7241e+00	21.0048	0.0396																
325.1021168300261	-23.2016142904669	325.10211683003	2.0511	-23.20161429047	1.5887	6816580773446196352							0	3.1534e+02	7.0411e+00	19.4414	0.0242																
325.1063780631835	-23.2022476247449	325.10637806318	20.5269	-23.20224762474	25.1808	6816580773449148416							0	1.0850e+02	1.3298e+00	20.5998	0.0133	2.3439e+02	4.0850e+01	19.4265	0.1892	1.9364e+02	3.6230e+01	19.0445	0.2031	0.3821							
325.1018344379709	-23.2018050968568	325.10183443797	1.6081	-23.20180509686	1.6033	6816580773446196224							0	3.5149e+02	4.1820e+00	19.3236	0.0129	3.8630e+02	2.1114e+01	18.8841	0.0593	5.1088e+02	7.1576e+01	17.9911	0.1521	0.8930							
325.0990185749032	-23.2039788279395	325.09901857490	1.0576	-23.20397882794	2.2119	6816580773446214656							0	1.5009e+02	2.1883e+00	20.2475	0.0158																
325.1009358137255	-23.2047276314601	325.10093581373	3.4220	-23.20472763146	5.0119	6816580773448042624							0	1.0588e+02	1.6947e+00	20.6263	0.0174	1.8777e+02	2.6775e+01	19.6673	0.1548	1.0927e+02	3.2211e+01	19.6656	0.3200	0.0017							
325.1041925367787	-23.2031186796381	325.10419253678	24.9113	-23.20311867964	35.8063	6816580773448044160							0	8.7931e+01	1.7226e+00	20.8280	0.0213																
325.1080030587758	-23.2014759445769	325.10800305878	4.9143	-23.20147594458	6.5766	6816580773448046336							0	1.7532e+02	1.2136e+00	20.0788	0.0075	1.9837e+02	1.9428e+01	19.6077	0.1063	2.0842e+02	1.8394e+01	18.9646	0.0958	0.6431							
325.0974123936931	-23.2072888240653	325.09741239369	3.8501	-23.20728882407	1.6110	6816580739086472704							0	1.7902e+02	1.2552e+00	20.0561	0.0076																
325.0975092417170	-23.2070237543483	325.09749897015	0.2871	-23.20704909137	0.3256	6816580773446210944	-0.3160	0.3511	-2.193	0.527	-5.885	0.504	0	6.9232e+02	1.9241e+00	18.5876	0.0030	5.9576e+02	1.2858e+01	18.4137	0.0234	6.0248e+02	1.5497e+01	17.8121	0.0279	0.6017							
325.1059729366298	-23.2033419498358	325.10597293663	4.2839	-23.20334194984	6.1343	6816580773446154496							0	1.9726e+02	2.2074e+00	19.9508	0.0121																
325.1058257433207	-23.1976596345549	325.10580322801	0.6225	-23.19768964814	0.6658	6816580773446178176	1.1128	0.8748	-4.807	1.210	-6.971	1.040	0	3.0116e+02	2.5100e+00	19.4914	0.0090																
325.1068931288070	-23.1976092044406	325.10689312881	1.7761	-23.19760920444	1.5131	6816580773446165248							0	1.8820e+02	1.5492e+00	20.0018	0.0089																
325.1073111899797	-23.1976353496475	325.10731118998	8.8980	-23.19763534965	10.0467	6816580773446164992							0	2.0448e+02	2.3651e+00	19.9117	0.0126																
325.1059579885007	-23.2008092243203	325.10595798850	3.3232	-23.20080922432	4.8510	6816580773446166016							0	1.4159e+02	1.1900e+00	20.3108	0.0091	1.5301e+02	1.4790e+01	19.8896	0.1049	1.1165e+02	7.6248e+01	19.6423	0.7415	0.2473							
325.1071673875344	-23.1984034208457	325.10716738753	50.4102	-23.19840342085	43.2135	6816580773446165632							0	1.6916e+02	2.6004e+00	20.1177	0.0167																
325.1072447810974	-23.1981436720127	325.10723301981	0.3633	-23.19817152081	0.4244	6816580773446165504	0.6589	0.4487	-2.511	0.651	-6.468	0.623	0	5.2100e+02	1.7624e+00	18.8963	0.0037	6.5355e+02	1.4928e+01	18.3132	0.0248	7.1042e+02	2.8736e+01	17.6331	0.0439	0.6801							
325.1055451993836	-23.2049448514466	325.10554087900	0.0382	-23.20497722845	0.0407	6816580773448280192	0.1100	0.0468	-0.922	0.070	-7.520	0.062	0	2.2381e+04	6.6108e+00	14.8137	0.0003	1.0933e+04	2.6184e+01	15.2546	0.0026	1.7025e+04	2.6094e+01	14.1842	0.0017	1.0704			5066.30				
325.1060221602774	-23.2027312401974	325.10602486906	0.1979	-23.20275867721	0.2206	6816580773448281344	-0.1584	0.2394	0.578	0.361	-6.372	0.340	0	1.0151e+03	1.7019e+00	18.1721	0.0018	7.2827e+02	1.4242e+01	18.1957	0.0212	7.6229e+02	1.4518e+01	17.5566	0.0207	0.6390							
325.1082071433992	-23.1986665985857	325.10820714340	2.9289	-23.19866659859	4.3520	6816580773448281216							1	3.6001e+02	2.0285e+00	19.2976	0.0061																
325.1042208218881	-23.2036585752223	325.10422082189	4.1729	-23.20365857522	6.2522	6816580773446168192							0	1.4920e+02	1.0797e+00	20.2539	0.0079																
325.1040817883454	-23.2035289333491	325.10404868662	0.6431	-23.20355897079	0.7113	6816580773446168064	1.3280	0.8104	-7.066	1.197	-6.976	1.099	0	4.2797e+02	2.9181e+00	19.1098	0.0074	5.6299e+02	2.2690e+01	18.4751	0.0438	5.5847e+02	2.2912e+01	17.8944	0.0445	0.5807							
325.1037385493579	-23.2034594057398	325.10373854936	3.5794	-23.20345940574	5.2821	6816580773446167936							0	1.4165e+02	1.1788e+00	20.3103	0.0090																
325.1033993407430	-23.2033306113316	325.10339835915	0.2611	-23.20335783493	0.2978	6816580773446167808	-0.6070	0.3082	-0.210	0.475	-6.323	0.458	0	8.2329e+02	1.8554e+00	18.3995	0.0024	7.6292e+02	1.5389e+01	18.1452	0.0219	8.1855e+02	1.6854e+01	17.4793	0.0224	0.6659							
325.1035331675425	-23.2029448852555	325.10353316754	1.2245	-23.20294488526	0.7440	6816580773446167680							0	3.1027e+02	1.5694e+00	19.4590	0.0055																
325.1031398543204	-23.2053091648439	325.10313985432	2.0197	-23.20530916484	2.0107	6816580773446169216							0	1.4195e+02	2.1296e+00	20.3080	0.0163																
325.1041600329755	-23.2048852045028	325.10416003298	1.7652	-23.20488520450	2.6361	6816580773448283392							0	1.5141e+02	1.0872e+00	20.2380	0.0078																
325.1024692909813	-23.2063709125020	325.10246929098	23.0218	-23.20637091250	27.7386	6816580773446170368							0	2.0936e+02	1.5322e+00	19.8861	0.0079																
325.1076226288745	-23.1966368178300	325.10762332233	0.2183	-23.19666612780	0.2341	6816580773446170112	-0.1451	0.2579	0.148	0.404	-6.807	0.368	0	1.1408e+03	2.5925e+00	18.0454	0.0025	9.9613e+02	1.4613e+01	17.8556	0.0159	1.1318e+03	1.7229e+01	17.1275	0.0165	0.7281							
325.1072915942044	-23.1988627595437	325.10729159420	56.0477	-23.19886275954	53.0383	6816580773448284800							0	1.1782e+02	1.6058e+00	20.5103	0.0148																
325.1074539361895	-23.1965168915847	325.10745393619	1.4147	-23.19651689158	2.1081	6816580773446169984							0	3.9968e+02	1.6775e+00	19.1841	0.0046																
325.1030496734369	-23.2042526058700	325.10302623457	1.1411	-23.20429126001	1.1061	6816580773448285952	-0.3822	1.1503	-5.003	2.319	-8.978	1.998	1	2.1443e+02	1.4328e+00	19.8601	0.0073																
325.1117890128773	-23.2003859751393	325.11178901288	55.9042	-23.20038597514	52.9419	6816580773448270592							1	1.3727e+02	1.4371e+00	20.3444	0.0114																
325.1065768576473	-23.1982963143745	325.10657685765	2.0849	-23.19829631437	3.0792	6816580773446171904							0	2.7576e+02	1.3225e+00	19.5871	0.0052																
325.1107921525781	-23.2021656641262	325.11079215258	13.1752	-23.20216566413	15.4658	6816580773448269952							0	1.5412e+02	1.0728e+00	20.2187	0.0076																
325.1075291284824	-23.1995968877283	325.10752912848	1.7149	-23.19959688773	2.5414	6816580773446157952							0	3.2099e+02	1.6450e+00	19.4221	0.0056																
325.1086541102521	-23.1975171763874	325.10865411025	2.0042	-23.19751717639	3.1712	6816580773446157568							0	2.2609e+02	2.3396e+00	19.8026	0.0112	3.3659e+02	2.8876e+01	19.0336	0.0931	3.3695e+02	1.2967e+01	18.4430	0.0418	0.5906							
325.1094088293902	-23.2019774513790	325.10940882939	31.1551	-23.20197745138	23.4886	6816580773448273664							0	1.1958e+02	1.4940e+00	20.4942	0.0136																
325.1066086248192	-23.2008339839683	325.10660862482	2.3581	-23.20083398397	3.4450	6816580773446160000							0	2.1884e+02	1.2265e+00	19.8381	0.0061	2.7349e+02	1.9553e+01	19.2590	0.0776	2.9164e+02	1.5039e+01	18.5998	0.0560	0.6592							
325.1107771193495	-23.1998227649316	325.11077029033	0.0832	-23.19985499199	0.0786	6816580773448274432	0.2913	0.1035	-1.458	0.150	-7.485	0.120	0	7.6987e+03	4.8117e+00	15.9723	0.0007	4.1293e+03	2.1137e+01	16.3117	0.0056	5.9455e+03	1.9578e+01	15.3265	0.0036	0.9852			5349.00				
325.1096952555935	-23.2024978573833	325.10969525559	5.5866	-23.20249785738	16.8593	6816580773448274048							1	2.4969e+02	1.4012e+00	19.6949	0.0061	3.0150e+02	1.7179e+01	19.1532	0.0619	3.4524e+02	2.3210e+01	18.4166	0.0730	0.7365							
325.1092966968151	-23.2002949557240	325.10929669682	56.9214	-23.20029495572	53.6257	6816580773448276736							0	6.3780e+01	2.2606e+00	21.1767	0.0385																
325.1092604537714	-23.2008025042681	325.10926045377	2.6623	-23.20080250427	3.7179	6816580773448276608							0	2.3223e+02	1.2421e+00	19.7736	0.0058	1.9300e+02	1.3010e+01	19.6375	0.0732	2.2994e+02	1.6091e+01	18.8579	0.0760	0.7796							
325.1045495768456	-23.2042067587705	325.10454647601	0.3407	-23.20423759702	0.3860	6816580773446161792	-0.2141	0.4046	-0.662	0.615	-7.162	0.595	0	4.8646e+02	1.3004e+00	18.9707	0.0029	5.8671e+02	1.8219e+01	18.4303	0.0337	5.8160e+02	1.7739e+01	17.8504	0.0331	0.5800							
325.1093571988096	-23.1999426204983	325.10935719881	17.2999	-23.19994262050	12.9100	6816580773448276480							0	9.5408e+01	1.5904e+00	20.7394	0.0181																
325.1040973754828	-23.2041721814283	325.10409339737	0.6046	-23.20420553845	0.6743	6816580773446161664	0.7272	0.6727	-0.849	1.179	-7.747	1.110	0	2.6456e+02	1.1610e+00	19.6321	0.0048																
325.1045910016677	-23.2046011001817	325.10459100167	14.9918	-23.20460110018	26.6417	6816580773446161536							0	1.3733e+02	6.4582e+00	20.3439	0.0511																
325.1069336910664	-23.1993841912995	325.10693369107	36.4660	-23.19938419130	41.7439	6816580773446163072							0	1.5814e+02	4.9978e+00	20.1908	0.0343																
325.1065925625082	-23.1993542376761	325.10659256251	19.8617	-23.19935423768	24.3039	6816580773446162944							0	2.0895e+02	1.5218e+00	19.8883	0.0079																
325.1079191776948	-23.2024605397102	325.10791917769	3.7260	-23.20246053971	6.0196	6816580773448277632							0	1.5787e+02	1.3015e+00	20.1926	0.0090																
325.1069465235032	-23.1995323244419	325.10694831208	0.3270	-23.19956967280	0.3595	6816580773446163200	0.6938	0.4054	0.382	0.599	-8.674	0.557	0	5.8916e+02	1.9389e+00	18.7628	0.0036	6.1225e+02	1.4209e+01	18.3841	0.0252	7.0986e+02	1.3723e+01	17.6340	0.0210	0.7501							
325.1048891785831	-23.2029950929969	325.10490287073	1.0381	-23.20301624959	1.1509	6816580773446164096	-0.9844	0.9566	2.923	2.099	-4.914	1.848	0	1.8830e+02	1.0539e+00	20.0013	0.0061	2.1310e+02	1.6889e+01	19.5299	0.0860	2.3659e+02	1.7352e+01	18.8269	0.0796	0.7030							
325.1039599034536	-23.2010450610309	325.10395990345	1.9506	-23.20104506103	2.8960	6816580773446183680							0	1.7985e+02	1.5312e+00	20.0511	0.0092	3.9126e+02	6.6758e+01	18.8702	0.1853												
325.1009834427177	-23.2056550570855	325.10098344272	2.1918	-23.20565505709	2.9269	6816580773446184832							0	4.3922e+02	1.5974e+00	19.0817	0.0039																
325.1001702455871	-23.2071252939618	325.10017454629	0.9972	-23.20715199639	0.9531	6816580773446184320	-0.8809	1.2976	0.918	1.542	-6.202	1.539	0	1.7641e+02	1.2052e+00	20.0720	0.0074																
325.1011140608717	-23.2059222579229	325.10111406087	1.6271	-23.20592225792	1.8264	6816580773446185088							0	1.0895e+03	1.4073e+01	18.0953	0.0140	1.3320e+03	2.9463e+01	17.5401	0.0240	1.4150e+03	2.9549e+01	16.8850	0.0227	0.6551							
325.1039239736143	-23.2000736566111	325.10392397361	0.6335	-23.20007365661	0.9449	6816580773446188800							0	1.0870e+03	2.7622e+00	18.0978	0.0028	1.3945e+03	8.1617e+01	17.4903	0.0635	1.3999e+03	1.6695e+02	16.8967	0.1295	0.5937							
325.1036456551504	-23.1997330437180	325.10364565515	2.5496	-23.19973304372	3.8310	6816580773446188672							0	2.0737e+02	1.3009e+00	19.8965	0.0068																
325.1030489723995	-23.2002446294374	325.10305418667	0.5205	-23.20027702563	0.6392	6816580773446188416	-0.1328	0.6463	1.113	0.941	-7.524	0.971	0	2.9835e+02	1.2436e+00	19.5016	0.0045	4.3595e+02	2.7847e+01	18.7528	0.0694	5.1297e+02	5.1181e+01	17.9867	0.1083	0.7661							
325.1024210910792	-23.2061967939976	325.10241974956	0.3685	-23.20622958002	0.4161	6816580773446170240	-0.8716	0.4413	-0.286	0.666	-7.615	0.638	0	4.7024e+02	1.8026e+00	19.0076	0.0042																
325.1053740223682	-23.2000043062964	325.10537402237	4.9609	-23.20000430630	7.0904	6816580773446173568							0	1.2561e+02	1.5289e+00	20.4408	0.0132																
325.1034158259774	-23.2049125739054	325.10342563326	0.3988	-23.20493836802	0.4698	6816580773446168704	-0.8894	0.4633	2.094	0.710	-5.991	0.719	0	4.0037e+02	1.2554e+00	19.1822	0.0034	3.5705e+02	1.7221e+01	18.9696	0.0524	3.7198e+02	1.3506e+01	18.3356	0.0394	0.6339							
325.1044330131563	-23.2012655504311	325.10443301316	1.3143	-23.20126555043	2.0506	6816580773446176128							0	2.4267e+02	1.1435e+00	19.7258	0.0051	2.7658e+02	1.9259e+01	19.2468	0.0756	3.0742e+02	1.8218e+01	18.5426	0.0643	0.7043							
325.1060069256740	-23.1977946696847	325.10600692567	4.0404	-23.19779466968	5.8103	6816580773446178304							0	1.5071e+02	1.6780e+00	20.2430	0.0121																
325.1050734978580	-23.1991748286387	325.10506182698	0.5730	-23.19921262788	0.6418	6816580773446180224	-0.8148	0.7010	-2.491	1.055	-8.779	0.982	0	5.1724e+02	1.7641e+00	18.9041	0.0037	5.2588e+02	1.8139e+01	18.5492	0.0374	5.0293e+02	1.4938e+01	18.0082	0.0322	0.5410							
325.1051439888629	-23.1996425790012	325.10514398886	11.5041	-23.19964257900	15.4816	6816580773446180096							0	1.0014e+02	2.4012e+00	20.6868	0.0260																
325.0998220033828	-23.2052680720253	325.09982200338	1.9913	-23.20526807203	2.2129	6816580773448291968							1	2.0536e+02	1.9869e+00	19.9071	0.0105																
325.1087402352027	-23.1995131693940	325.10874023520	1.8475	-23.19951316939	1.2168	6816580773447250048							0	1.9062e+02	1.4166e+00	19.9880	0.0081																
325.1102243003917	-23.1998254003242	325.11021927720	0.3586	-23.19985658638	0.4094	6816580773446132096	0.5891	0.4464	-1.072	0.662	-7.243	0.624	0	5.4881e+02	1.5559e+00	18.8398	0.0031	9.3979e+02	3.5112e+02	17.9188	0.4056	1.2227e+03	4.4444e+02	17.0437	0.3947	0.8752							
325.1086116676884	-23.2032343353156	325.10861166769	6.6409	-23.20323433532	13.2774	6816580773446136704							0	1.6289e+02	1.1895e+00	20.1586	0.0079																
