_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
325.0836271941380	-23.2216352764841	325.08362242685	0.6009	-23.22166976351	0.7100	6816574863571276160	-1.3733	0.6555	-1.018	1.074	-8.010	1.069	0	2.3412e+02	1.0525e+00	19.7648	0.0049	2.5669e+02	1.9139e+01	19.3279	0.0810	2.8934e+02	1.5473e+01	18.6084	0.0581	0.7195							
325.0734150431745	-23.2282077847843	325.07341504317	56.2147	-23.22820778478	53.1745	6816574829214442112							1	9.0289e+01	1.5225e+00	20.7993	0.0183	1.5531e+02	6.1632e+00	19.8734	0.0431	9.3635e+01	1.8609e+00	19.8333	0.0216	0.0401							
325.0821009284995	-23.2294892839875	325.08210092850	4.7918	-23.22948928399	7.5295	6816574863572946048							0	1.0143e+02	1.4554e+00	20.6730	0.0156																
325.0925501299760	-23.2263590491091	325.09255012998	38.4907	-23.22635904911	29.4626	6816574863572942976							0	7.7600e+01	1.6966e+00	20.9637	0.0237	1.5330e+02	2.7528e+01	19.8875	0.1950	8.1180e+01	2.0179e+01	19.9883	0.2699	-0.1008							
325.0834805382992	-23.2313024265926	325.08348584465	0.3841	-23.23133299938	0.3885	6816574863571234048	1.1787	0.4330	1.133	0.722	-7.101	0.596	0	7.8654e+02	2.7921e+00	18.4491	0.0039	1.1108e+03	1.0258e+02	17.7373	0.1003	1.3461e+03	7.3290e+01	16.9392	0.0591	0.7981							
325.0893484696984	-23.2269520351552	325.08934846970	58.7644	-23.22695203516	54.7933	6816574863572944128							0	6.6081e+01	2.4035e+00	21.1382	0.0395																
325.0956922661267	-23.2286173254156	325.09569226613	5.4176	-23.22861732542	7.5454	6816574794853467264							0	8.9794e+01	1.3208e+00	20.8052	0.0160	1.1448e+02	1.0709e+01	20.2046	0.1016	1.0249e+02	1.5605e+01	19.7352	0.1653	0.4693							
325.0878451156755	-23.2331949775044	325.08784511568	5.1264	-23.23319497750	4.2837	6816574863572947200							0	1.2048e+02	1.0702e+00	20.4860	0.0096	1.2369e+02	1.7683e+01	20.1206	0.1552	1.3521e+02	2.3102e+01	19.4344	0.1855	0.6862							
325.0758421644586	-23.2306163746688	325.07584216446	16.4942	-23.23061637467	14.9476	6816574829213209344							0	9.2969e+01	1.3435e+00	20.7675	0.0157	1.1290e+02	1.3218e+01	20.2196	0.1271	1.0183e+02	2.3383e+01	19.7422	0.2493	0.4774							
325.0869176792114	-23.2223837286682	325.08690841401	0.5894	-23.22241588957	0.6844	6816574863571235584	-0.6635	0.6734	-1.978	1.049	-7.470	1.044	0	2.4632e+02	1.1379e+00	19.7096	0.0050	2.3465e+02	3.3162e+01	19.4253	0.1534	2.3521e+02	1.4339e+01	18.8333	0.0662	0.5921							
325.0917744828474	-23.2323955062941	325.09177270393	0.5901	-23.23243224267	0.6798	6816574794851669504	-0.1664	0.6530	-0.380	1.050	-8.532	1.025	0	2.3968e+02	1.1010e+00	19.7393	0.0050	1.6761e+02	1.0438e+01	19.7906	0.0676	1.9389e+02	1.0983e+01	19.0430	0.0615	0.7476							
325.1000222028606	-23.2308292912262	325.10001846070	0.6635	-23.23087984486	0.7620	6816574794851625344	5.3154	0.7222	-0.799	1.184	-11.741	1.132	0	2.6443e+02	1.5349e+00	19.6326	0.0063	3.0522e+02	3.4265e+01	19.1398	0.1219	3.0923e+02	2.7494e+01	18.5362	0.0965	0.6036							
325.0933383304165	-23.2282434882534	325.09333533452	0.2256	-23.22827661875	0.2534	6816574859279017984	0.0437	0.2507	-0.639	0.404	-7.695	0.380	0	8.4321e+02	1.3678e+00	18.3735	0.0018	5.9866e+02	1.5517e+01	18.4084	0.0281	5.9486e+02	1.4659e+01	17.8259	0.0268	0.5826							
325.0949651158778	-23.2320475630507	325.09496152910	0.3225	-23.23208053063	0.3625	6816574790559542272	0.0211	0.3578	-0.766	0.577	-7.657	0.546	0	5.0636e+02	1.2204e+00	18.9272	0.0026	3.1677e+02	1.1191e+01	19.0995	0.0384	3.3395e+02	1.2468e+01	18.4527	0.0405	0.6468							
325.0850257917115	-23.2289425563983	325.08502627239	1.0247	-23.22898456041	1.1506	6816574863571222912	1.0645	1.3194	0.103	1.906	-9.756	1.724	0	1.4609e+02	1.0884e+00	20.2768	0.0081	1.5304e+02	1.2037e+01	19.8894	0.0854	1.4568e+02	1.3858e+01	19.3534	0.1033	0.5360							
325.0825929202342	-23.2308268006780	325.08258987375	0.0331	-23.23085720473	0.0354	6816574863573301888	0.0558	0.0390	-0.650	0.060	-7.062	0.053	0	1.2056e+05	4.4204e+01	12.9853	0.0004	5.3076e+04	7.7941e+01	13.5391	0.0016	9.8291e+04	1.3109e+02	12.2806	0.0014	1.2585	-188.67	2.99	5003.50				
325.0824566672951	-23.2331655177280	325.08244788529	0.5613	-23.23320311096	0.6534	6816574863571224064	0.2626	0.6466	-1.874	0.992	-8.731	0.997	0	2.5196e+02	1.0764e+00	19.6850	0.0046	2.2537e+02	1.5151e+01	19.4691	0.0730	2.1961e+02	1.4335e+01	18.9078	0.0709	0.5614							
325.0869788319693	-23.2246537098101	325.08697515610	0.0849	-23.22468421652	0.0930	6816574863573299584	0.1511	0.0943	-0.785	0.151	-7.085	0.140	0	4.1283e+03	2.8345e+00	16.6489	0.0007	2.1600e+03	1.1599e+01	17.0153	0.0058	2.9853e+03	1.2027e+01	16.0745	0.0044	0.9408			5245.23				
325.0782927309785	-23.2279807997808	325.07829006143	0.0968	-23.22800984865	0.1052	6816574859276974336	-0.1757	0.1091	-0.570	0.173	-6.747	0.159	0	3.1312e+03	2.5603e+00	16.9491	0.0009	1.6803e+03	1.2561e+01	17.2879	0.0081	2.2323e+03	1.5738e+01	16.3900	0.0077	0.8979			5400.50				
325.0941455625104	-23.2293758423126	325.09414556251	22.8191	-23.22937584231	25.3680	6816574794854512128							0	8.5186e+01	1.3137e+00	20.8624	0.0167	7.0961e+01	2.5764e+00	20.7238	0.0394	8.1004e+01	1.7811e+01	19.9907	0.2387	0.7332							
325.0820717598696	-23.2289185028260	325.08207140468	0.6702	-23.22895230236	0.7020	6816574863571250432	0.0628	0.7958	-0.076	1.210	-7.850	1.068	0	2.3480e+02	1.0969e+00	19.7616	0.0051	2.4193e+02	1.5067e+01	19.3922	0.0676	2.1247e+02	1.3595e+01	18.9437	0.0695	0.4485							
325.0827080410553	-23.2283095800848	325.08269804130	0.7369	-23.22834795031	0.8836	6816574863571248896	0.9124	0.8025	-2.134	1.282	-8.912	1.331	0	1.9023e+02	1.1639e+00	19.9902	0.0066	1.4710e+02	1.0045e+01	19.9323	0.0741	1.7959e+02	1.7457e+01	19.1262	0.1055	0.8061							
325.0847992142049	-23.2243016758178	325.08479711385	0.4708	-23.22433015982	0.5413	6816574863571249024	0.8474	0.5130	-0.448	0.833	-6.616	0.814	0	3.2011e+02	1.2710e+00	19.4251	0.0043	2.4713e+02	1.0037e+01	19.3691	0.0441	2.7128e+02	1.0439e+01	18.6784	0.0418	0.6907							
325.0992555307117	-23.2335372450078	325.09922417535	1.1973	-23.23358140977	1.4470	6816574794851622272	0.4635	1.3550	-6.692	2.065	-10.258	2.077	0	1.0767e+02	9.0749e-01	20.6081	0.0092	1.1630e+02	1.7320e+01	20.1874	0.1617	1.3158e+02	1.5805e+01	19.4639	0.1304	0.7235							
325.0812908962398	-23.2232943640712	325.08128863323	0.2906	-23.22332475517	0.3004	6816574863573769088	0.4197	0.2948	-0.483	0.517	-7.059	0.449	0	6.6578e+02	1.2928e+00	18.6300	0.0021	4.6113e+02	8.5962e+00	18.6918	0.0202	4.6306e+02	1.5568e+01	18.0978	0.0365	0.5940							
325.0832173335102	-23.2216082116791	325.08321733351	6.7754	-23.22160821168	10.3820	6816574863571276032							0	1.3808e+02	1.2364e+00	20.3380	0.0097																
325.0863646041228	-23.2235066979472	325.08636460412	9.7955	-23.22350669795	8.4087	6816574863573769984							0	7.0761e+01	1.8561e+00	21.0639	0.0285																
325.0914412187012	-23.2223044933822	325.09144121870	7.5027	-23.22230449338	10.4697	6816574863573114240							0	8.0349e+01	1.5396e+00	20.9259	0.0208																
325.0873274923109	-23.2254747064486	325.08732749231	22.7535	-23.22547470645	28.1314	6816574863573113216							0	6.5159e+01	1.6439e+00	21.1534	0.0274																
325.0791668246221	-23.2269536915115	325.07916682462	44.3584	-23.22695369151	35.3181	6816574863573767936							0	7.0458e+01	1.6652e+00	21.0685	0.0257																
325.0963778870516	-23.2316994197339	325.09636681040	0.3629	-23.23173549202	0.4123	6816574794851643136	0.6480	0.4048	-2.364	0.649	-8.378	0.622	0	4.3474e+02	1.2947e+00	19.0928	0.0032	3.0070e+02	1.1681e+01	19.1560	0.0422	3.2378e+02	1.3614e+01	18.4863	0.0457	0.6698							
325.0854940473489	-23.2241121706707	325.08549352209	0.5661	-23.22414015228	0.6533	6816574863571240320	0.2899	0.6569	-0.112	1.010	-6.499	0.999	0	2.4695e+02	1.0972e+00	19.7068	0.0048	3.7598e+02	3.6438e+01	18.9135	0.1052	3.7062e+02	1.7750e+01	18.3396	0.0520	0.5739							
325.0791512325578	-23.2242851259856	325.07915123256	44.4087	-23.22428512599	35.3488	6816574863574228864							0	7.2161e+01	1.8002e+00	21.0426	0.0271																
325.0801597609879	-23.2322969510202	325.08015976099	53.3648	-23.23229695102	37.9822	6816574829214712832							0	6.7774e+01	3.4596e+00	21.1107	0.0554																
325.0950137206497	-23.2261024531027	325.09500521192	0.2849	-23.22613426188	0.3228	6816574863571147008	0.3355	0.3136	-1.816	0.508	-7.388	0.484	0	6.0649e+02	1.3563e+00	18.7313	0.0024	4.0175e+02	1.0826e+01	18.8415	0.0293	4.1534e+02	1.1706e+01	18.2159	0.0306	0.6256							
325.0900410460775	-23.2230883163199	325.09003164380	0.4979	-23.22312353697	0.5812	6816574863571202688	1.1848	0.5007	-2.007	0.870	-8.180	0.866	0	3.5462e+02	1.3190e+00	19.3140	0.0040	2.5444e+02	1.2149e+01	19.3374	0.0518	2.7603e+02	1.1680e+01	18.6595	0.0459	0.6779							
325.0977994524903	-23.2286951009603	325.09779910280	0.7334	-23.22872867977	0.8839	6816574794851643776	0.7400	0.7927	-0.075	1.285	-7.799	1.324	0	1.8561e+02	9.4691e-01	20.0168	0.0055	1.4980e+02	1.4238e+01	19.9126	0.1032	1.5709e+02	1.0135e+01	19.2716	0.0701	0.6410							
325.0760998509448	-23.2251858195017	325.07609616889	0.3301	-23.22521242746	0.3777	6816574863571519360	0.4441	0.3618	-0.786	0.586	-6.180	0.569	0	5.0311e+02	1.6856e+00	18.9342	0.0036																
325.0782639321893	-23.2239871971740	325.07825931195	0.4680	-23.22401789821	0.4838	6816574863572161920	1.0216	0.5077	-0.986	0.818	-7.131	0.736	0	3.6657e+02	1.1785e+00	19.2780	0.0035	2.9299e+02	1.9576e+01	19.1843	0.0725	2.6993e+02	1.3536e+01	18.6838	0.0544	0.5005							
325.0883220096243	-23.2284868749858	325.08830520672	0.5687	-23.22851739420	0.6580	6816574863571193216	0.7265	0.6611	-3.586	1.020	-7.088	1.008	0	2.6845e+02	1.2313e+00	19.6162	0.0050	2.1154e+02	1.6989e+01	19.5379	0.0872	2.2478e+02	1.6335e+01	18.8825	0.0789	0.6554							
325.0713662990611	-23.2296680250997	325.07135532413	0.1248	-23.22969789941	0.1336	6816574824917455744	1.0940	0.1559	-2.342	0.231	-6.939	0.205	0	2.8466e+03	3.4824e+00	17.0525	0.0013	1.6329e+03	2.3733e+01	17.3190	0.0158	2.1174e+03	1.4670e+01	16.4474	0.0075	0.8716			5784.55	0.1635	0.0760		
325.0786381168243	-23.2250273046625	325.07863811682	1.9587	-23.22502730466	1.1787	6816574863572161280							0	1.2946e+02	1.0100e+00	20.4081	0.0085	1.6567e+02	2.4179e+01	19.8033	0.1585	1.4431e+02	1.8819e+01	19.3637	0.1416	0.4396							
325.0879515014797	-23.2290331500354	325.08793393651	0.7638	-23.22906792371	0.8043	6816574863571193728	0.0722	0.8721	-3.749	1.364	-8.076	1.220	0	2.0614e+02	1.0704e+00	19.9030	0.0056	1.6365e+02	1.7473e+01	19.8166	0.1159	1.8486e+02	1.5788e+01	19.0948	0.0927	0.7218							
325.0856012682107	-23.2334426708641	325.08560348183	0.4738	-23.23347291027	0.5596	6816574863571193472	-0.4577	0.5368	0.472	0.842	-7.023	0.852	0	3.2872e+02	1.1424e+00	19.3963	0.0038	2.4270e+02	1.3712e+01	19.3887	0.0613	2.4264e+02	1.2520e+01	18.7995	0.0560	0.5892							
325.0797552687777	-23.2276148683420	325.07975526878	6.7815	-23.22761486834	5.4960	6816574863573995136							0	8.8560e+01	1.0788e+00	20.8203	0.0132	1.0237e+02	1.3602e+01	20.3259	0.1443	1.1836e+02	2.8958e+01	19.5789	0.2656	0.7470							
325.0818661165286	-23.2267054055056	325.08190292872	0.6309	-23.22672371378	0.7270	6816574863573310336	-9.2015	0.7785	7.857	1.164	-4.252	1.113	0	3.3964e+02	1.7277e+00	19.3608	0.0055	3.8817e+02	2.0921e+01	18.8788	0.0585	3.9736e+02	1.1872e+01	18.2640	0.0324	0.6149							
325.0905313928664	-23.2220617693250	325.09053139287	8.8167	-23.22206176933	7.4124	6816574863573992704							0	8.9604e+01	1.0743e+00	20.8075	0.0130																
325.0867697777866	-23.2268158198680	325.08676977779	10.1634	-23.22681581987	14.1143	6816574863573992448							1	9.1798e+01	1.2629e+00	20.7813	0.0149	1.9035e+02	1.4135e+01	19.6525	0.0806	1.0680e+02	1.7913e+01	19.6904	0.1821	-0.0379							
325.0827174190673	-23.2337516744894	325.08271741907	0.8617	-23.23375167449	0.9325	6816574859278990592							0	1.6652e+02	1.0088e+00	20.1347	0.0066																
325.0832390883430	-23.2187361913276	325.08323908834	8.9101	-23.21873619133	12.4595	6816574863573998464							0	9.1353e+01	1.4677e+00	20.7866	0.0174	2.0681e+02	1.8133e+01	19.5625	0.0952	1.8069e+02	1.4077e+01	19.1196	0.0846	0.4429							
325.0807869688092	-23.2277376731144	325.08080830796	1.6858	-23.22776539078	0.9588	6816574863572159616	-1.5850	1.6469	4.554	3.022	-6.438	1.510	0	1.6548e+02	1.1757e+00	20.1415	0.0077	1.3990e+02	1.2788e+01	19.9869	0.0992	1.6538e+02	1.7985e+01	19.2157	0.1181	0.7712							
